x, y
0.2,0.128715365
0.209903714,0.139798489
0.218707015,0.151889169
0.229711142,0.163979849
0.239614856,0.176070529
0.248418157,0.188161209
0.258321871,0.199244332
0.267125172,0.210327456
0.278129298,0.220403023
0.290233838,0.232493703
0.30343879,0.24256927
0.317744154,0.250629723
0.334250344,0.25465995
0.347455296,0.256675063
0.362861073,0.253652393
0.37826685,0.249622166
0.393672627,0.24559194
0.407977992,0.238539043
0.423383769,0.232493703
0.436588721,0.225440806
0.453094911,0.215365239
0.46519945,0.209319899
0.479504814,0.201259446
0.492709766,0.193198992
0.508115543,0.185138539
0.52352132,0.179093199
0.54002751,0.172040302
0.5565337,0.167002519
0.575240715,0.161964736
0.591746905,0.156926952
0.608253095,0.151889169
0.625859697,0.146851385
0.644566713,0.142821159
0.662173315,0.138790932
0.678679505,0.135768262
0.69738652,0.131738035
0.716093535,0.128715365
0.73480055,0.124685139
0.752407153,0.121662469
0.770013755,0.117632242
0.78872077,0.115617128
0.80522696,0.113602015
0.822833563,0.110579345
0.840440165,0.107556675
0.85914718,0.105541562
0.878954608,0.102518892
0.899862448,0.099496222
0.919669876,0.095465995
0.937276479,0.092443325
0.954516333,0.086230046
0.968454848,0.073467672
0.978725411,0.056675055
0.987528713,0.042569246
0.999266403,0.019731305
